"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"SpaMTPData_mouse_brain_visium_1.0.0","Processed mouse brain Visium object used in the SpaMTP spatial multi-omics workflow.","3.24","GRCm39","RDS","https://zenodo.org/records/17246900","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","Seurat","Rds","https://zenodo.org/api/records/17246900/files/","visium.RDS/content","SpaMTPData:SpatialTranscriptomics:MouseBrain"
"SpaMTPData_mouse_brain_fmp10_1.0.0","Aligned FMP10 MALDI-MSI mouse brain object used for SpaMTP integration and annotation examples.","3.24","GRCm39","RDS","https://zenodo.org/records/17246900","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","Seurat","Rds","https://zenodo.org/api/records/17246900/files/","SpaMTP_msi_transformed.RDS/content","SpaMTPData:MALDI:MassSpectrometry:MouseBrain"
"SpaMTPData_mouse_brain_dhb_striatum_1.0.0","DHB mouse brain striatum SpaMTP object used for pathway-network demonstrations.","3.24","GRCm39","RDS","https://zenodo.org/records/17246900","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","Seurat","Rds","https://zenodo.org/api/records/17246900/files/","striatum.dhb.data.RDS/content","SpaMTPData:MALDI:Pathways:MouseBrain"
"SpaMTPData_mouse_bladder_raw_1.0.0","Raw mouse urinary bladder MALDI-MSI experiment used by the SpaMTP introductory workflow.","3.24","GRCm39","RDS","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","MSImagingExperiment","Rds","https://zenodo.org/api/records/17246684/files/","raw_bladder.RDS/content","SpaMTPData:MALDI:MassSpectrometry:MouseBladder"
"SpaMTPData_mouse_bladder_annotated_1.0.0","Annotated mouse urinary bladder SpaMTP object for plotting and pathway examples.","3.24","GRCm39","RDS","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","Seurat","Rds","https://zenodo.org/api/records/17246684/files/","bladder_annotated.RDS/content","SpaMTPData:MALDI:MouseBladder"
"SpaMTPData_mouse_bladder_histology_1.0.0","Histology image associated with the mouse urinary bladder SpaMTP example.","3.24","GRCm39","RDS","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","array","Rds","https://zenodo.org/api/records/17246684/files/","bladder_HE.RDS/content","SpaMTPData:Histology:MouseBladder"
"SpaMTPData_mouse_bladder_intensity_csv_1.0.0","Mouse urinary bladder intensity matrix in CSV format.","3.24","GRCm39","CSV","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","FilePath","FilePath","https://zenodo.org/api/records/17246684/files/","bladder_csv.csv/content","SpaMTPData:MALDI:MouseBladder"
"SpaMTPData_mouse_bladder_metadata_csv_1.0.0","Pixel metadata for the mouse urinary bladder intensity matrix.","3.24","GRCm39","CSV","https://zenodo.org/records/17246684","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","FilePath","FilePath","https://zenodo.org/api/records/17246684/files/","bladder_metadata.csv/content","SpaMTPData:MALDI:MouseBladder"
"SpaMTPData_simulated_xenium_1.0.0","Simulated Xenium-like transcriptomics object for single-cell multi-omics examples.","3.24","GRCm39","RDS","https://zenodo.org/records/17247007","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","Seurat","Rds","https://zenodo.org/api/records/17247007/files/","Sim_Xenium.RDS/content","SpaMTPData:SingleCell:SpatialTranscriptomics"
"SpaMTPData_simulated_maldi_1.0.0","Simulated single-cell MALDI object paired with the Xenium-like experiment.","3.24","GRCm39","RDS","https://zenodo.org/records/17247007","1.0.0","Mus musculus",10090,,"SpaMTP Zenodo community","Tianyao Lu <lu.t@wehi.edu.au>","Seurat","Rds","https://zenodo.org/api/records/17247007/files/","Sim_MALDI.RDS/content","SpaMTPData:SingleCell:MALDI"
