"resource","version","category","title","file_name","location_prefix","rdata_path","source_url","r_data_class","dispatch_class","bytes","md5"
"mouse_brain_visium","1.0.0","mouse_brain","SpaMTPData_mouse_brain_visium_1.0.0","visium.RDS","https://zenodo.org/api/records/17246900/files/","visium.RDS/content","https://zenodo.org/records/17246900","Seurat","Rds",15935195,"fe1beef8631cf16d320334ab3694f58f"
"mouse_brain_fmp10","1.0.0","mouse_brain","SpaMTPData_mouse_brain_fmp10_1.0.0","SpaMTP_msi_transformed.RDS","https://zenodo.org/api/records/17246900/files/","SpaMTP_msi_transformed.RDS/content","https://zenodo.org/records/17246900","Seurat","Rds",7183959,"4c9e3db3412df2a255a58fc6939e37de"
"mouse_brain_dhb_striatum","1.0.0","mouse_brain","SpaMTPData_mouse_brain_dhb_striatum_1.0.0","striatum.dhb.data.RDS","https://zenodo.org/api/records/17246900/files/","striatum.dhb.data.RDS/content","https://zenodo.org/records/17246900","Seurat","Rds",64681681,"8fca750fc14909e638450fb5c5a0512b"
"mouse_bladder_raw","1.0.0","mouse_bladder","SpaMTPData_mouse_bladder_raw_1.0.0","raw_bladder.RDS","https://zenodo.org/api/records/17246684/files/","raw_bladder.RDS/content","https://zenodo.org/records/17246684","MSImagingExperiment","Rds",91088473,"a385f37641929a43ef6ab917febaf036"
"mouse_bladder_annotated","1.0.0","mouse_bladder","SpaMTPData_mouse_bladder_annotated_1.0.0","bladder_annotated.RDS","https://zenodo.org/api/records/17246684/files/","bladder_annotated.RDS/content","https://zenodo.org/records/17246684","Seurat","Rds",3868517,"68b4a4fb4fb0aaa81fa138410d14ef0f"
"mouse_bladder_histology","1.0.0","mouse_bladder","SpaMTPData_mouse_bladder_histology_1.0.0","bladder_HE.RDS","https://zenodo.org/api/records/17246684/files/","bladder_HE.RDS/content","https://zenodo.org/records/17246684","array","Rds",5868417,"12748584aff1e9a768577536dd0a678e"
"mouse_bladder_intensity_csv","1.0.0","mouse_bladder","SpaMTPData_mouse_bladder_intensity_csv_1.0.0","bladder_csv.csv","https://zenodo.org/api/records/17246684/files/","bladder_csv.csv/content","https://zenodo.org/records/17246684","FilePath","FilePath",61279170,"505fac26445a56ae00cc377b87b03143"
"mouse_bladder_metadata_csv","1.0.0","mouse_bladder","SpaMTPData_mouse_bladder_metadata_csv_1.0.0","bladder_metadata.csv","https://zenodo.org/api/records/17246684/files/","bladder_metadata.csv/content","https://zenodo.org/records/17246684","FilePath","FilePath",1211706,"d2a6fc89ed617a0b29a291b4ecd2b715"
"simulated_xenium","1.0.0","simulated_multiomics","SpaMTPData_simulated_xenium_1.0.0","Sim_Xenium.RDS","https://zenodo.org/api/records/17247007/files/","Sim_Xenium.RDS/content","https://zenodo.org/records/17247007","Seurat","Rds",69498752,"28b74f9a959365352c8e8475846f66a3"
"simulated_maldi","1.0.0","simulated_multiomics","SpaMTPData_simulated_maldi_1.0.0","Sim_MALDI.RDS","https://zenodo.org/api/records/17247007/files/","Sim_MALDI.RDS/content","https://zenodo.org/records/17247007","Seurat","Rds",400433,"bb5a9d6b2d819ebcce4b06c0f07cacbb"
"annotation_refinement_input","1.0.0","annotation_refinement","SpaMTPData_annotation_refinement_input_1.0.0","spotted_Annotated_H_Cl_Adducts.RDS","https://zenodo.org/api/records/17289187/files/","spotted_Annotated_H_Cl_Adducts.RDS/content","https://zenodo.org/records/17289187","MSImagingExperiment","Rds",58004110,"d7b46c8d71b7a3eb95a01a210e010c40"
"annotation_refinement_scores","1.0.0","annotation_refinement","SpaMTPData_annotation_refinement_scores_1.0.0","annotation_zscore_output.RDS","https://zenodo.org/api/records/17352749/files/","annotation_zscore_output.RDS/content","https://zenodo.org/records/17352749","list","Rds",103616,"b8d4983f97069c562967880588c3a25e"
"big_data_roi","1.0.0","big_data","SpaMTPData_big_data_roi_1.0.0","spotted_small_ROI.RDS","https://zenodo.org/api/records/17352749/files/","spotted_small_ROI.RDS/content","https://zenodo.org/records/17352749","MSImagingExperiment","Rds",541803114,"454bfc51907b9a83e51144479a8cf98e"
"human_brain_integrated","1.0.0","human_brain","SpaMTPData_human_brain_integrated_1.0.0","brain_tumour_integrated.rds","https://zenodo.org/api/records/18282678/files/","brain_tumour_integrated.rds/content","https://zenodo.org/records/18282678","Seurat","Rds",403412791,"c55018e64b9b8490d1ebc72276b87d40"
"human_brain_pathways","1.0.0","human_brain","SpaMTPData_human_brain_pathways_1.0.0","brain_tumour_combined_pathways.rds","https://zenodo.org/api/records/18282678/files/","brain_tumour_combined_pathways.rds/content","https://zenodo.org/records/18282678","data.frame","Rds",134749,"acad1aa6eb9df488b4c211e331f41dce"
"pig_fetus_cardinal","1.0.0","import_examples","SpaMTPData_pig_fetus_cardinal_1.0.0","pig206.RDS","https://zenodo.org/api/records/17246555/files/","pig206.RDS/content","https://zenodo.org/records/17246555","MSImagingExperiment","Rds",9911076,"d056b5c31c136b6e64ffb975ebca9100"
"human_rcc_cardinal","1.0.0","import_examples","SpaMTPData_human_rcc_cardinal_1.0.0","rcc.RDS","https://zenodo.org/api/records/17246588/files/","rcc.RDS/content","https://zenodo.org/records/17246588","MSImagingExperiment","Rds",61974682,"0a7bb6ccc043aab4078f1c9f3fcb3570"
"annotation_refinement_results_csv","1.0.0","annotation_refinement","SpaMTPData_annotation_refinement_results_csv_1.0.0","results_spotted.csv","https://zenodo.org/api/records/17352749/files/","results_spotted.csv/content","https://zenodo.org/records/17352749","FilePath","FilePath",912,"d4baf47c9c35e9ce50ff3e88782cf8b0"
"mouse_brain_visium","1.1.0","mouse_brain","SpaMTPData_mouse_brain_visium_1.1.0","mouse_brain_visium_spe.rds","https://zenodo.org/api/records/22733262/files/","mouse_brain_visium_spe.rds/content","https://zenodo.org/records/22733262","SpatialExperiment","Rds",14533379,"c81e29ee4b5a2c85b9e45c537d42e2d1"
"mouse_brain_fmp10","1.1.0","mouse_brain","SpaMTPData_mouse_brain_fmp10_1.1.0","mouse_brain_fmp10_spe.rds","https://zenodo.org/api/records/22733262/files/","mouse_brain_fmp10_spe.rds/content","https://zenodo.org/records/22733262","SpatialExperiment","Rds",7204207,"53453292d7cee5cf1be6f16c02104d91"
"mouse_brain_dhb_striatum","1.1.0","mouse_brain","SpaMTPData_mouse_brain_dhb_striatum_1.1.0","mouse_brain_dhb_striatum_spe.rds","https://zenodo.org/api/records/22733262/files/","mouse_brain_dhb_striatum_spe.rds/content","https://zenodo.org/records/22733262","SpatialExperiment","Rds",47643252,"629a3f78651a512484550b4ba0e5d66c"
"mouse_bladder_raw","1.1.0","mouse_bladder","SpaMTPData_mouse_bladder_raw_1.1.0","raw_bladder.RDS","https://zenodo.org/api/records/17246684/files/","raw_bladder.RDS/content","https://zenodo.org/records/17246684","MSImagingExperiment","Rds",91088473,"a385f37641929a43ef6ab917febaf036"
"mouse_bladder_annotated","1.1.0","mouse_bladder","SpaMTPData_mouse_bladder_annotated_1.1.0","mouse_bladder_annotated_spe.rds","https://zenodo.org/api/records/22733262/files/","mouse_bladder_annotated_spe.rds/content","https://zenodo.org/records/22733262","SpatialExperiment","Rds",3872024,"f9f34fec8d8e266c0cbb1853e0274ee1"
"mouse_bladder_histology","1.1.0","mouse_bladder","SpaMTPData_mouse_bladder_histology_1.1.0","bladder_HE.RDS","https://zenodo.org/api/records/17246684/files/","bladder_HE.RDS/content","https://zenodo.org/records/17246684","array","Rds",5868417,"12748584aff1e9a768577536dd0a678e"
"mouse_bladder_intensity_csv","1.1.0","mouse_bladder","SpaMTPData_mouse_bladder_intensity_csv_1.1.0","bladder_csv.csv","https://zenodo.org/api/records/17246684/files/","bladder_csv.csv/content","https://zenodo.org/records/17246684","FilePath","FilePath",61279170,"505fac26445a56ae00cc377b87b03143"
"mouse_bladder_metadata_csv","1.1.0","mouse_bladder","SpaMTPData_mouse_bladder_metadata_csv_1.1.0","bladder_metadata.csv","https://zenodo.org/api/records/17246684/files/","bladder_metadata.csv/content","https://zenodo.org/records/17246684","FilePath","FilePath",1211706,"d2a6fc89ed617a0b29a291b4ecd2b715"
"simulated_xenium","1.1.0","simulated_multiomics","SpaMTPData_simulated_xenium_1.1.0","simulated_xenium_spe.rds","https://zenodo.org/api/records/22733262/files/","simulated_xenium_spe.rds/content","https://zenodo.org/records/22733262","SpatialExperiment","Rds",476273,"8587d45375d1385ea03dfa18d2ef509f"
"simulated_maldi","1.1.0","simulated_multiomics","SpaMTPData_simulated_maldi_1.1.0","simulated_maldi_spe.rds","https://zenodo.org/api/records/22733262/files/","simulated_maldi_spe.rds/content","https://zenodo.org/records/22733262","SpatialExperiment","Rds",406060,"680c71c945de26f5426d86d8b39c35e1"
"annotation_refinement_input","1.1.0","annotation_refinement","SpaMTPData_annotation_refinement_input_1.1.0","spotted_Annotated_H_Cl_Adducts.RDS","https://zenodo.org/api/records/17289187/files/","spotted_Annotated_H_Cl_Adducts.RDS/content","https://zenodo.org/records/17289187","MSImagingExperiment","Rds",58004110,"d7b46c8d71b7a3eb95a01a210e010c40"
"annotation_refinement_scores","1.1.0","annotation_refinement","SpaMTPData_annotation_refinement_scores_1.1.0","annotation_zscore_output.RDS","https://zenodo.org/api/records/17352749/files/","annotation_zscore_output.RDS/content","https://zenodo.org/records/17352749","list","Rds",103616,"b8d4983f97069c562967880588c3a25e"
"big_data_roi","1.1.0","big_data","SpaMTPData_big_data_roi_1.1.0","spotted_small_ROI.RDS","https://zenodo.org/api/records/17352749/files/","spotted_small_ROI.RDS/content","https://zenodo.org/records/17352749","MSImagingExperiment","Rds",541803114,"454bfc51907b9a83e51144479a8cf98e"
"human_brain_integrated","1.1.0","human_brain","SpaMTPData_human_brain_integrated_1.1.0","human_brain_integrated_spe.rds","https://zenodo.org/api/records/22733262/files/","human_brain_integrated_spe.rds/content","https://zenodo.org/records/22733262","SpatialExperiment","Rds",149007048,"95a713223b184b4f9f38780ee5c16917"
"human_brain_pathways","1.1.0","human_brain","SpaMTPData_human_brain_pathways_1.1.0","brain_tumour_combined_pathways.rds","https://zenodo.org/api/records/18282678/files/","brain_tumour_combined_pathways.rds/content","https://zenodo.org/records/18282678","data.frame","Rds",134749,"acad1aa6eb9df488b4c211e331f41dce"
"pig_fetus_cardinal","1.1.0","import_examples","SpaMTPData_pig_fetus_cardinal_1.1.0","pig206.RDS","https://zenodo.org/api/records/17246555/files/","pig206.RDS/content","https://zenodo.org/records/17246555","MSImagingExperiment","Rds",9911076,"d056b5c31c136b6e64ffb975ebca9100"
"human_rcc_cardinal","1.1.0","import_examples","SpaMTPData_human_rcc_cardinal_1.1.0","rcc.RDS","https://zenodo.org/api/records/17246588/files/","rcc.RDS/content","https://zenodo.org/records/17246588","MSImagingExperiment","Rds",61974682,"0a7bb6ccc043aab4078f1c9f3fcb3570"
